Name,EnergyCost,StarCost,BaseText,UpgradedText
Backflip,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Draw 2 cards.","Gain {Block:diff()} [gold]Block[/gold].
Draw 2 cards."
Backstab,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage.,Deal {Damage:diff()} damage.
Bad Luck,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the end of your turn, if this is in your Hand, lose {HpLoss:diff()} HP.","At the end of your turn, if this is in your Hand, lose {HpLoss:diff()} HP."
Ball Lightning,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
[gold]Channel[/gold] 1 [gold]Lightning[/gold].","Deal {Damage:diff()} damage.
[gold]Channel[/gold] 1 [gold]Lightning[/gold]."
Banshee's Cry,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage to ALL enemies.
Costs {Energy:energyIcons()} less for each [gold]Ethereal[/gold] card played this combat.","Deal {Damage:diff()} damage to ALL enemies.
Costs {Energy:energyIcons()} less for each [gold]Ethereal[/gold] card played this combat."
Barrage,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage for each [gold]Channeled[/gold] Orb.{InCombat:
(Hits {CalculatedHits:diff()} {CalculatedHits:plural:time|times})|}","Deal {Damage:diff()} damage for each [gold]Channeled[/gold] Orb.{InCombat:
(Hits {CalculatedHits:diff()} {CalculatedHits:plural:time|times})|}"
Barricade,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Block[/gold] is not removed at the start of your turn.,[gold]Block[/gold] is not removed at the start of your turn.
Bash,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold]."
Battle Trance,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Draw {Cards:diff()} cards.
You cannot draw additional cards this turn.","Draw {Cards:diff()} cards.
You cannot draw additional cards this turn."
Beacon of Hope,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you gain [gold]Block[/gold] on your turn, other players gain half that much [gold]Block[/gold].","Whenever you gain [gold]Block[/gold] on your turn, other players gain half that much [gold]Block[/gold]."
Beam Cell,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold]."
Beat Down,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Play {Cards:diff()} random Attacks from your [gold]Discard Pile[/gold].,Play {Cards:diff()} random Attacks from your [gold]Discard Pile[/gold].
Beat into Shape,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
[gold]Forge[/gold] {CalculatedForge:diff()}.
[gold]Forges[/gold] an additional {CalculationExtra:diff()} for every other time you've hit the enemy this turn.","Deal {Damage:diff()} damage.
[gold]Forge[/gold] {CalculatedForge:diff()}.
[gold]Forges[/gold] an additional {CalculationExtra:diff()} for every other time you've hit the enemy this turn."
Beckon,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the end of your turn, if this is in your [gold]Hand[/gold],
 lose {HpLoss} HP.","At the end of your turn, if this is in your [gold]Hand[/gold],
 lose {HpLoss} HP."
BEGONE!,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Choose a card in your [gold]Hand[/gold] to [gold]Transform[/gold] into [gold]{IfUpgraded:show:Minion Dive Bomb+|Minion Dive Bomb}[/gold].","Deal {Damage:diff()} damage.
Choose a card in your [gold]Hand[/gold] to [gold]Transform[/gold] into [gold]{IfUpgraded:show:Minion Dive Bomb+|Minion Dive Bomb}[/gold]."
Believe in You,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Another player gains {Energy:energyIcons()}.,Another player gains {Energy:energyIcons()}.
Biased Cognition,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {FocusPower:diff()} [gold]Focus[/gold].
At the start of your turn, lose {BiasedCognitionPower:diff()} [gold]Focus[/gold].","Gain {FocusPower:diff()} [gold]Focus[/gold].
At the start of your turn, lose {BiasedCognitionPower:diff()} [gold]Focus[/gold]."
Big Bang,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Draw {Cards:diff()} {Cards:plural:card|cards}.
Gain {Energy:energyIcons()}.
Gain {Stars:starIcons()}.
[gold]Forge[/gold] {Forge:diff()}.","Draw {Cards:diff()} {Cards:plural:card|cards}.
Gain {Energy:energyIcons()}.
Gain {Stars:starIcons()}.
[gold]Forge[/gold] {Forge:diff()}."
Black Hole,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you spend or gain {singleStarIcon}, deal {BlackHolePower:diff()} damage to ALL enemies.","Whenever you spend or gain {singleStarIcon}, deal {BlackHolePower:diff()} damage to ALL enemies."
Blade Dance,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Add {Cards:diff()} [gold]{Cards:plural:Shiv|Shivs}[/gold] into your [gold]Hand[/gold].,Add {Cards:diff()} [gold]{Cards:plural:Shiv|Shivs}[/gold] into your [gold]Hand[/gold].
Blade of Ink,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"This turn, whenever you play an Attack, gain {StrengthPower:diff()} [gold]Strength[/gold] this turn.","This turn, whenever you play an Attack, gain {StrengthPower:diff()} [gold]Strength[/gold] this turn."
Blight Strike,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Apply [gold]Doom[/gold] equal to damage dealt.","Deal {Damage:diff()} damage.
Apply [gold]Doom[/gold] equal to damage dealt."
Bloodletting,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Lose {HpLoss:diff()} HP.
Gain {Energy:energyIcons()}.","Lose {HpLoss:diff()} HP.
Gain {Energy:energyIcons()}."
Blood Wall,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Lose {HpLoss:diff()} HP.
Gain {Block:diff()} [gold]Block[/gold].","Lose {HpLoss:diff()} HP.
Gain {Block:diff()} [gold]Block[/gold]."
Bludgeon,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage.,Deal {Damage:diff()} damage.
Blur,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
[gold]Block[/gold] is not removed at the start of your next turn.","Gain {Block:diff()} [gold]Block[/gold].
[gold]Block[/gold] is not removed at the start of your next turn."
Bodyguard,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Summon[/gold] {Summon:diff()}.,[gold]Summon[/gold] {Summon:diff()}.
Body Slam,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal damage equal to your [gold]Block[/gold].{InCombat:
(Deals {CalculatedDamage:diff()} damage)|}","Deal damage equal to your [gold]Block[/gold].{InCombat:
(Deals {CalculatedDamage:diff()} damage)|}"
Bolas,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
At the start of your next turn, return this to your [gold]Hand[/gold].","Deal {Damage:diff()} damage.
At the start of your next turn, return this to your [gold]Hand[/gold]."
Bombardment,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
At the start of your turn, plays from the [gold]Exhaust Pile[/gold].","Deal {Damage:diff()} damage.
At the start of your turn, plays from the [gold]Exhaust Pile[/gold]."
Bone Shards,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"If [gold]Osty[/gold] is alive, he deals {OstyDamage:diff()} damage to ALL enemies and you gain {Block:diff()} [gold]Block[/gold].
[gold]Osty[/gold] dies.","If [gold]Osty[/gold] is alive, he deals {OstyDamage:diff()} damage to ALL enemies and you gain {Block:diff()} [gold]Block[/gold].
[gold]Osty[/gold] dies."
Boost Away,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Add a [gold]Dazed[/gold] into your [gold]Discard Pile[/gold].","Gain {Block:diff()} [gold]Block[/gold].
Add a [gold]Dazed[/gold] into your [gold]Discard Pile[/gold]."
Boot Sequence,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {Block:diff()} [gold]Block[/gold].,Gain {Block:diff()} [gold]Block[/gold].
Borrowed Time,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Apply {DoomPower:diff()} [gold]Doom[/gold] to yourself.
Gain {Energy:energyIcons()}.","Apply {DoomPower:diff()} [gold]Doom[/gold] to yourself.
Gain {Energy:energyIcons()}."
Bouncing Flask,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Apply {PoisonPower:diff()} [gold]Poison[/gold] to a random enemy {Repeat:diff()} times.,Apply {PoisonPower:diff()} [gold]Poison[/gold] to a random enemy {Repeat:diff()} times.
Brand,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Lose {HpLoss:diff()} HP.
[gold]Exhaust[/gold] 1 card.
Gain {StrengthPower:diff()} [gold]Strength[/gold].","Lose {HpLoss:diff()} HP.
[gold]Exhaust[/gold] 1 card.
Gain {StrengthPower:diff()} [gold]Strength[/gold]."
Break,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold]."
Breakthrough,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Lose {HpLoss:diff()} HP.
Deal {Damage:diff()} damage to ALL enemies.","Lose {HpLoss:diff()} HP.
Deal {Damage:diff()} damage to ALL enemies."
Brightest Flame,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Energy:energyIcons()}.
Draw {Cards:diff()} {Cards:plural:card|cards}.
Lose {MaxHp:diff()} Max HP.","Gain {Energy:energyIcons()}.
Draw {Cards:diff()} {Cards:plural:card|cards}.
Lose {MaxHp:diff()} Max HP."
Bubble Bubble,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"If the enemy has [gold]Poison[/gold], apply {PoisonPower:diff()} [gold]Poison[/gold].","If the enemy has [gold]Poison[/gold], apply {PoisonPower:diff()} [gold]Poison[/gold]."
Buffer,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Prevent the next {BufferPower:plural:time|{BufferPower:diff()} times} you would lose HP.,Prevent the next {BufferPower:plural:time|{BufferPower:diff()} times} you would lose HP.
Bulk Up,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Lose {OrbSlots:diff()} Orb {OrbSlots:plural:Slot|Slots}.
Gain {StrengthPower:diff()} [gold]Strength[/gold].
Gain {DexterityPower:diff()} [gold]Dexterity[/gold].","Lose {OrbSlots:diff()} Orb {OrbSlots:plural:Slot|Slots}.
Gain {StrengthPower:diff()} [gold]Strength[/gold].
Gain {DexterityPower:diff()} [gold]Dexterity[/gold]."
Bullet Time,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,You cannot draw additional cards this turn. ALL cards in your [gold]Hand[/gold] are free to play this turn.,You cannot draw additional cards this turn. ALL cards in your [gold]Hand[/gold] are free to play this turn.
Bully,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for each [gold]Vulnerable[/gold] on the enemy.","Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for each [gold]Vulnerable[/gold] on the enemy."
Bulwark,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
[gold]Forge[/gold] {Forge:diff()}.","Gain {Block:diff()} [gold]Block[/gold].
[gold]Forge[/gold] {Forge:diff()}."
Bundle of Joy,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Add {Cards:diff()} random Colorless {Cards:plural:card|cards} into your [gold]Hand[/gold].,Add {Cards:diff()} random Colorless {Cards:plural:card|cards} into your [gold]Hand[/gold].
Burn,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the end of your turn, if this is in your [gold]Hand[/gold], take {Damage:diff()} damage.","At the end of your turn, if this is in your [gold]Hand[/gold], take {Damage:diff()} damage."
Burning Pact,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Exhaust[/gold] 1 card.
Draw {Cards:diff()} cards.","[gold]Exhaust[/gold] 1 card.
Draw {Cards:diff()} cards."
Burst,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"This turn, your next{IfUpgraded:show: 2} {Skills:plural:Skill is|Skills are} played an extra time.","This turn, your next{IfUpgraded:show: 2} {Skills:plural:Skill is|Skills are} played an extra time."
Bury,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage.,Deal {Damage:diff()} damage.
Byrdonis Egg,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Can be hatched at a [gold]Rest Site[/gold].,Can be hatched at a [gold]Rest Site[/gold].
Byrd Swoop,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage.,Deal {Damage:diff()} damage.
Calamity,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you play an Attack, add a random Attack into your [gold]Hand[/gold].","Whenever you play an Attack, add a random Attack into your [gold]Hand[/gold]."
Calcify,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Osty's[/gold] attacks deal {CalcifyPower:diff()} additional damage.,[gold]Osty's[/gold] attacks deal {CalcifyPower:diff()} additional damage.
Calculated Gamble,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Discard your [gold]Hand[/gold],
then draw that many cards.","Discard your [gold]Hand[/gold],
then draw that many cards."
Call of the Void,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the start of your turn, add {Cards:diff()} random {Cards:plural:card|cards} into your [gold]Hand[/gold]. {Cards:plural:It gains|They gain} [gold]Ethereal[/gold].","At the start of your turn, add {Cards:diff()} random {Cards:plural:card|cards} into your [gold]Hand[/gold]. {Cards:plural:It gains|They gain} [gold]Ethereal[/gold]."
Caltrops,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you are attacked, deal {ThornsPower:diff()} damage back.","Whenever you are attacked, deal {ThornsPower:diff()} damage back."
Capacitor,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {Repeat:diff()} Orb Slots.,Gain {Repeat:diff()} Orb Slots.
Capture Spirit,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Enemy loses {Damage:diff()} HP.
Add {Cards:diff()} [gold]{Cards:plural:Soul|Souls}[/gold] into your [gold]Draw Pile[/gold].","Enemy loses {Damage:diff()} HP.
Add {Cards:diff()} [gold]{Cards:plural:Soul|Souls}[/gold] into your [gold]Draw Pile[/gold]."
Cascade,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Play the top X{IfUpgraded:show:+1} cards of your [gold]Draw Pile[/gold].,Play the top X{IfUpgraded:show:+1} cards of your [gold]Draw Pile[/gold].
Catastrophe,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Play {Cards:diff()} random {Cards:plural:card|cards} from your [gold]Draw Pile[/gold].,Play {Cards:diff()} random {Cards:plural:card|cards} from your [gold]Draw Pile[/gold].
Celestial Might,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage {Repeat:diff()} {Repeat:plural:time|times}.,Deal {Damage:diff()} damage {Repeat:diff()} {Repeat:plural:time|times}.
Chaos,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Channel[/gold] {Repeat:diff()} random {Repeat:plural:Orb|Orbs}.,[gold]Channel[/gold] {Repeat:diff()} random {Repeat:plural:Orb|Orbs}.
CHARGE!!,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Choose {Cards:diff()} {Cards:plural:card|cards} in your [gold]Draw Pile[/gold] to [gold]Transform[/gold] into
[gold]{Cards:plural:{IfUpgraded:show:Minion Strike+|Minion Strike}[/gold]|{IfUpgraded:show:Minion Strikes+|Minion Strikes}[/gold]}.","Choose {Cards:diff()} {Cards:plural:card|cards} in your [gold]Draw Pile[/gold] to [gold]Transform[/gold] into
[gold]{Cards:plural:{IfUpgraded:show:Minion Strike+|Minion Strike}[/gold]|{IfUpgraded:show:Minion Strikes+|Minion Strikes}[/gold]}."
Charge Battery,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Next turn, gain {Energy:energyIcons()}.","Gain {Block:diff()} [gold]Block[/gold].
Next turn, gain {Energy:energyIcons()}."
Child of the Stars,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you spend {singleStarIcon}, gain {BlockForStars:diff()} [gold]Block[/gold] for each {singleStarIcon} spent.","Whenever you spend {singleStarIcon}, gain {BlockForStars:diff()} [gold]Block[/gold] for each {singleStarIcon} spent."
Chill,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Channel[/gold] 1 [gold]Frost[/gold] for each enemy.,[gold]Channel[/gold] 1 [gold]Frost[/gold] for each enemy.
Cinder,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
[gold]Exhaust[/gold] the top card of your [gold]Draw Pile[/gold].","Deal {Damage:diff()} damage.
[gold]Exhaust[/gold] the top card of your [gold]Draw Pile[/gold]."
Clash,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Can only be played if every card in your [gold]Hand[/gold] is an Attack.
Deal {Damage:diff()} damage.","Can only be played if every card in your [gold]Hand[/gold] is an Attack.
Deal {Damage:diff()} damage."
Claw,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Increase the damage of ALL Claw cards by {Increase:diff()} this combat.","Deal {Damage:diff()} damage.
Increase the damage of ALL Claw cards by {Increase:diff()} this combat."
Cleanse,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Summon[/gold] {Summon:diff()}.
[gold]Exhaust[/gold] 1 card from your [gold]Draw Pile[/gold].","[gold]Summon[/gold] {Summon:diff()}.
[gold]Exhaust[/gold] 1 card from your [gold]Draw Pile[/gold]."
Cloak and Dagger,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Add {Cards:diff()} [gold]{Cards:plural:Shiv|Shivs}[/gold] into your [gold]Hand[/gold].","Gain {Block:diff()} [gold]Block[/gold].
Add {Cards:diff()} [gold]{Cards:plural:Shiv|Shivs}[/gold] into your [gold]Hand[/gold]."
Cloak of Stars,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,1,Gain {Block:diff()} [gold]Block[/gold].,Gain {Block:diff()} [gold]Block[/gold].
Clumsy,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,,
Cold Snap,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
[gold]Channel[/gold] 1 [gold]Frost[/gold].","Deal {Damage:diff()} damage.
[gold]Channel[/gold] 1 [gold]Frost[/gold]."
Collision Course,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Add a [gold]Debris[/gold] into your [gold]Hand[/gold].","Deal {Damage:diff()} damage.
Add a [gold]Debris[/gold] into your [gold]Hand[/gold]."
Colossus,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
You receive 50% less damage from [gold]Vulnerable[/gold] enemies this turn.","Gain {Block:diff()} [gold]Block[/gold].
You receive 50% less damage from [gold]Vulnerable[/gold] enemies this turn."
Comet,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,5,"Deal {Damage:diff()} damage.
Apply {WeakPower:diff()} [gold]Weak[/gold].
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal {Damage:diff()} damage.
Apply {WeakPower:diff()} [gold]Weak[/gold].
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold]."
Compact,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
[gold]Transform[/gold] all Status cards in your [gold]Hand[/gold] into [gold]{IfUpgraded:show:Fuel+|Fuel}[/gold].","Gain {Block:diff()} [gold]Block[/gold].
[gold]Transform[/gold] all Status cards in your [gold]Hand[/gold] into [gold]{IfUpgraded:show:Fuel+|Fuel}[/gold]."
Compile Driver,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Draw 1 card for each unique Orb you have.{InCombat:
(Draw {CalculatedCards:diff()} {CalculatedCards:plural:card|cards})|}","Deal {Damage:diff()} damage.
Draw 1 card for each unique Orb you have.{InCombat:
(Draw {CalculatedCards:diff()} {CalculatedCards:plural:card|cards})|}"
Conflagration,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {CalculatedDamage:diff()} damage to ALL enemies.
Deals {ExtraDamage:diff()} additional damage for each other Attack you've played this turn.","Deal {CalculatedDamage:diff()} damage to ALL enemies.
Deals {ExtraDamage:diff()} additional damage for each other Attack you've played this turn."
